datetime,liters
2025-11-01 00:00:00,3856.17
2025-11-02 00:00:00,335.38
2025-11-03 00:00:00,800.77
2025-11-04 00:00:00,3717.28
2025-11-05 00:00:00,262.41
2025-11-06 00:00:00,167.78
2025-11-07 00:00:00,2011.26
2025-11-08 00:00:00,632.77
2025-11-09 00:00:00,310.53
2025-11-10 00:00:00,208.78
2025-11-11 00:00:00,2623.1
2025-11-12 00:00:00,216.46
2025-11-13 00:00:00,871.69
2025-11-14 00:00:00,315.48
2025-11-15 00:00:00,412.5
2025-11-16 00:00:00,393.05
2025-11-17 00:00:00,218.28
2025-11-18 00:00:00,187.91
2025-11-19 00:00:00,180.46
2025-11-20 00:00:00,244.27
2025-11-21 00:00:00,857.13
2025-11-22 00:00:00,0.34
2025-11-23 00:00:00,274.98
2025-11-24 00:00:00,226.18
2025-11-25 00:00:00,198.26
2025-11-26 00:00:00,144.12
2025-11-27 00:00:00,0
2025-11-28 00:00:00,69.27
2025-11-29 00:00:00,33.5
2025-11-30 00:00:00,952.51
2025-12-01 00:00:00,314.51
2025-12-02 00:00:00,2198.2
2025-12-03 00:00:00,388.33
2025-12-04 00:00:00,2119.38
2025-12-05 00:00:00,1015.53
2025-12-06 00:00:00,2469.09
2025-12-07 00:00:00,981.29
2025-12-08 00:00:00,318.21
2025-12-09 00:00:00,2187.62
2025-12-10 00:00:00,402.26
2025-12-11 00:00:00,2129.9
2025-12-12 00:00:00,1008.64
2025-12-13 00:00:00,3854.97
2025-12-14 00:00:00,607.18
2025-12-15 00:00:00,463.69
2025-12-16 00:00:00,2359.84
2025-12-17 00:00:00,421.94
2025-12-18 00:00:00,2309.11
2025-12-19 00:00:00,1812.32
2025-12-20 00:00:00,0.06
2025-12-21 00:00:00,0
2025-12-22 00:00:00,5.23
2025-12-23 00:00:00,5.06
2025-12-24 00:00:00,0
2025-12-25 00:00:00,0
2025-12-26 00:00:00,0
2025-12-27 00:00:00,509.47
2025-12-28 00:00:00,473.47
2025-12-29 00:00:00,523.63
2025-12-30 00:00:00,521.81
2025-12-31 00:00:00,501.39
2026-01-01 00:00:00,514.64
2026-01-02 00:00:00,1191.44
2026-01-03 00:00:00,666.72
2026-01-04 00:00:00,622.53
2026-01-05 00:00:00,556.45
2026-01-06 00:00:00,317.98
2026-01-07 00:00:00,250.41
2026-01-08 00:00:00,303.93
2026-01-09 00:00:00,172.61
2026-01-10 00:00:00,1477.45
2026-01-11 00:00:00,356.59
2026-01-12 00:00:00,516.52
2026-01-13 00:00:00,1662.52
2026-01-14 00:00:00,347.1
2026-01-15 00:00:00,1556.73
2026-01-16 00:00:00,676.11
2026-01-17 00:00:00,3291.3
2026-01-18 00:00:00,246.43
2026-01-19 00:00:00,321.11
2026-01-20 00:00:00,1331.68
2026-01-21 00:00:00,201.05
2026-01-22 00:00:00,1247.91
2026-01-23 00:00:00,1805.95
2026-01-24 00:00:00,1549.68
2026-01-25 00:00:00,426.55
2026-01-26 00:00:00,343.85
2026-01-27 00:00:00,1530.8
2026-01-28 00:00:00,200.82
2026-01-29 00:00:00,1335.89
2026-01-30 00:00:00,2144.46
2026-01-31 00:00:00,1379.86
2026-02-01 00:00:00,454.08
2026-02-02 00:00:00,160.04
2026-02-03 00:00:00,1218.11
2026-02-04 00:00:00,233.86
