Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2025-01-01,2244.85,0,100,2435.06,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,248.79,30,150,50,25,220,75.92,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.34,2.5,0.8,2,3.5,true
2025-01-02,2032.84,0,100,2411.86,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,222.09,30,150,50,25,220,87.39,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,142.04,2.5,0.8,2,3.5,true
2025-01-03,2117.29,0,100,2167.93,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,229.71,30,150,50,25,220,79.43,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,140.38,2.5,0.8,2,3.5,true
2025-01-04,2354.16,0,100,2068.30,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,242.08,30,150,50,25,220,81.54,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,114.70,2.5,0.8,2,3.5,true
2025-01-05,2103.16,0,100,2461.45,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,200.73,30,150,50,25,220,77.52,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,113.11,2.5,0.8,2,3.5,true
2025-01-06,2449.12,0,100,2202.14,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,247.46,30,150,50,25,220,77.16,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,128.61,2.5,0.8,2,3.5,true
2025-01-07,2473.35,0,100,2238.95,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,201.68,30,150,50,25,220,84.18,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,129.36,2.5,0.8,2,3.5,true
2025-01-08,2494.62,0,100,2259.79,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,228.14,30,150,50,25,220,83.21,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.27,2.5,0.8,2,3.5,true
2025-01-09,2030.28,0,100,2057.86,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,227.41,30,150,50,25,220,78.56,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,145.76,2.5,0.8,2,3.5,true
2025-01-10,2417.81,0,100,2233.70,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,249.82,30,150,50,25,220,82.32,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,103.71,2.5,0.8,2,3.5,true
2025-01-11,2195.14,0,100,2169.00,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,202.18,30,150,50,25,220,71.35,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,116.79,2.5,0.8,2,3.5,true
2025-01-12,2029.86,0,100,2198.38,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,217.72,30,150,50,25,220,79.45,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,128.41,2.5,0.8,2,3.5,true
2025-01-13,2012.91,0,100,2377.18,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,248.72,30,150,50,25,220,81.07,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,125.51,2.5,0.8,2,3.5,true
2025-01-14,2338.49,0,100,2079.54,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,248.34,30,150,50,25,220,88.61,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,123.10,2.5,0.8,2,3.5,true
2025-01-15,2114.02,0,100,2482.08,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,227.73,30,150,50,25,220,78.69,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.18,2.5,0.8,2,3.5,true
2025-01-16,2313.66,0,100,2442.51,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,226.82,30,150,50,25,220,82.02,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,139.84,2.5,0.8,2,3.5,true
2025-01-17,2408.31,0,100,2356.38,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,203.26,30,150,50,25,220,76.40,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,132.30,2.5,0.8,2,3.5,true
2025-01-18,2361.95,0,100,2006.64,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,213.75,30,150,50,25,220,78.48,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,100.07,2.5,0.8,2,3.5,true
2025-01-19,2402.24,0,100,2001.65,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,239.45,30,150,50,25,220,87.58,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,113.63,2.5,0.8,2,3.5,true
2025-01-20,2468.32,0,100,2441.39,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,237.28,30,150,50,25,220,74.36,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,122.29,2.5,0.8,2,3.5,true
2025-01-21,2491.15,0,100,2375.13,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,237.45,30,150,50,25,220,83.59,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,124.08,2.5,0.8,2,3.5,true
2025-01-22,2162.96,0,100,2120.27,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,210.21,30,150,50,25,220,75.38,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,118.89,2.5,0.8,2,3.5,true
2025-01-23,2210.88,0,100,2306.71,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,223.00,30,150,50,25,220,84.57,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,143.06,2.5,0.8,2,3.5,true
2025-01-24,2304.10,0,100,2469.08,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,210.39,30,150,50,25,220,75.28,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,106.83,2.5,0.8,2,3.5,true
2025-01-25,2129.75,0,100,2139.05,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,222.67,30,150,50,25,220,79.11,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,128.20,2.5,0.8,2,3.5,true
2025-01-26,2444.64,0,100,2235.57,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,236.33,30,150,50,25,220,84.65,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,125.61,2.5,0.8,2,3.5,true
2025-01-27,2041.94,0,100,2341.48,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,203.71,30,150,50,25,220,83.60,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,116.17,2.5,0.8,2,3.5,true
2025-01-28,2365.48,0,100,2370.14,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,215.42,30,150,50,25,220,84.93,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,146.39,2.5,0.8,2,3.5,true
2025-01-29,2490.83,0,100,2467.76,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,227.13,30,150,50,25,220,74.11,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,130.81,2.5,0.8,2,3.5,true
2025-01-30,2390.87,0,100,2120.25,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,233.61,30,150,50,25,220,76.42,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.99,2.5,0.8,2,3.5,true
2025-01-31,2417.61,0,100,2150.74,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,203.08,30,150,50,25,220,70.36,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,128.57,2.5,0.8,2,3.5,true
2025-02-01,2084.51,0,100,2161.52,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,208.33,30,150,50,25,220,74.56,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,131.98,2.5,0.8,2,3.5,true
2025-02-02,2290.41,0,100,2374.81,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,244.89,30,150,50,25,220,82.49,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,117.12,2.5,0.8,2,3.5,true
2025-02-03,2081.53,0,100,2126.50,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,219.83,30,150,50,25,220,77.28,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,135.51,2.5,0.8,2,3.5,true
2025-02-04,2227.06,0,100,2476.78,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,240.15,30,150,50,25,220,86.97,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,141.25,2.5,0.8,2,3.5,true
2025-02-05,2297.39,0,100,2284.37,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,221.55,30,150,50,25,220,73.17,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,120.78,2.5,0.8,2,3.5,true
2025-02-06,2269.03,0,100,2421.18,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,235.28,30,150,50,25,220,71.90,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,103.25,2.5,0.8,2,3.5,true
2025-02-07,2238.09,0,100,2460.86,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,208.81,30,150,50,25,220,84.17,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,111.51,2.5,0.8,2,3.5,true
2025-02-08,2436.54,0,100,2249.77,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,219.76,30,150,50,25,220,89.06,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,101.62,2.5,0.8,2,3.5,true
2025-02-09,2316.72,0,100,2027.23,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,208.98,30,150,50,25,220,84.74,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,117.47,2.5,0.8,2,3.5,true
2025-02-10,2456.98,0,100,2066.76,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,246.21,30,150,50,25,220,77.89,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,119.62,2.5,0.8,2,3.5,true
2025-02-11,2298.28,0,100,2046.31,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,244.37,30,150,50,25,220,89.17,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.40,2.5,0.8,2,3.5,true
2025-02-12,2422.04,0,100,2102.98,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,240.29,30,150,50,25,220,78.01,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,147.72,2.5,0.8,2,3.5,true
2025-02-13,2447.95,0,100,2318.05,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,201.60,30,150,50,25,220,73.80,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,137.91,2.5,0.8,2,3.5,true
2025-02-14,2383.27,0,100,2488.72,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,216.16,30,150,50,25,220,85.77,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,139.20,2.5,0.8,2,3.5,true
2025-02-15,2157.47,0,100,2406.74,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,245.92,30,150,50,25,220,71.48,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,125.21,2.5,0.8,2,3.5,true
2025-02-16,2124.32,0,100,2168.58,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,222.30,30,150,50,25,220,76.91,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,144.02,2.5,0.8,2,3.5,true
2025-02-17,2453.38,0,100,2231.39,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,200.84,30,150,50,25,220,73.67,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,105.92,2.5,0.8,2,3.5,true
2025-02-18,2362.34,0,100,2451.43,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,216.34,30,150,50,25,220,70.52,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,122.49,2.5,0.8,2,3.5,true
2025-02-19,2265.42,0,100,2169.08,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,218.08,30,150,50,25,220,85.17,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,119.07,2.5,0.8,2,3.5,true
2025-02-20,2021.03,0,100,2013.77,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,243.18,30,150,50,25,220,82.86,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,108.90,2.5,0.8,2,3.5,true
2025-02-21,2398.02,0,100,2002.82,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,213.08,30,150,50,25,220,82.74,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,149.53,2.5,0.8,2,3.5,true
2025-02-22,2078.82,0,100,2434.31,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,220.76,30,150,50,25,220,75.44,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,112.89,2.5,0.8,2,3.5,true
2025-02-23,2013.83,0,100,2192.69,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,226.75,30,150,50,25,220,76.28,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,143.10,2.5,0.8,2,3.5,true
2025-02-24,2272.69,0,100,2069.77,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,234.15,30,150,50,25,220,80.94,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,101.52,2.5,0.8,2,3.5,true
2025-02-25,2270.01,0,100,2131.56,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,211.28,30,150,50,25,220,88.80,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,146.15,2.5,0.8,2,3.5,true
2025-02-26,2423.58,0,100,2235.21,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,206.83,30,150,50,25,220,77.24,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,108.57,2.5,0.8,2,3.5,true
2025-02-27,2264.50,0,100,2214.27,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,247.72,30,150,50,25,220,79.51,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,106.59,2.5,0.8,2,3.5,true
2025-02-28,2084.08,0,100,2215.96,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,249.71,30,150,50,25,220,75.02,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,144.64,2.5,0.8,2,3.5,true
2025-03-01,2429.67,0,100,2258.89,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,223.86,30,150,50,25,220,86.08,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,129.58,2.5,0.8,2,3.5,true
2025-03-02,2029.09,0,100,2371.32,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,202.51,30,150,50,25,220,87.78,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,110.70,2.5,0.8,2,3.5,true
2025-03-03,2485.50,0,100,2090.21,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,220.85,30,150,50,25,220,80.05,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,126.45,2.5,0.8,2,3.5,true
2025-03-04,2263.31,0,100,2182.57,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,221.64,30,150,50,25,220,78.00,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,107.52,2.5,0.8,2,3.5,true
2025-03-05,2406.66,0,100,2014.52,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,239.08,30,150,50,25,220,77.87,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,123.23,2.5,0.8,2,3.5,true
2025-03-06,2038.76,0,100,2077.76,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,205.69,30,150,50,25,220,86.96,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,121.84,2.5,0.8,2,3.5,true
2025-03-07,2125.02,0,100,2337.15,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,231.75,30,150,50,25,220,72.69,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,132.81,2.5,0.8,2,3.5,true
2025-03-08,2006.37,0,100,2382.04,1.2,1.3,16,5,1.3,2.4,400,900,90,600,15,120,1000,0.9,18,400,2.3,700,3500,55,2300,11,223.84,30,150,50,25,220,83.70,300,30,15,20,0,1.6,17,1,2,3,5,4,1.5,3,139.94,2.5,0.8,2,3.5,true
