date,value
2026-01-11,272
2026-01-10,8939
2026-01-09,4942
2026-01-08,8481
2026-01-07,6122
2026-01-06,8069
2026-01-05,4840
2026-01-04,6399
2026-01-03,5648
2026-01-02,10579
2026-01-01,6086
2025-12-31,5407
2025-12-30,8983
2025-12-29,9306
2025-12-28,6097
2025-12-27,8581
2025-12-26,9207
2025-12-25,10909
2025-12-24,5842
2025-12-23,12549
2025-12-22,10152
2025-12-21,18783
2025-12-20,7159
2025-12-19,8771
2025-12-18,4078
2025-12-17,6594
2025-12-16,3902
2025-12-15,3477
2025-12-14,9623
2025-12-13,7958
2025-12-12,6290
2025-12-11,7321
2025-12-10,6809
2025-12-09,5099
2025-12-08,3882
2025-12-07,7232
2025-12-06,6761
2025-12-05,2549
2025-12-04,8257
2025-12-03,4188
2025-12-02,6372
2025-12-01,5532
2025-11-30,7568
2025-11-29,4672
2025-11-28,6847
2025-11-27,3909
2025-11-26,4973
2025-11-25,5206
2025-11-24,9105
2025-11-23,9133
2025-11-22,17281
2025-11-21,4479
2025-11-20,5874
2025-11-19,5792
2025-11-18,10909
2025-11-17,5701
2025-11-16,6414
2025-11-15,9132
2025-11-14,3087
2025-11-13,5484
2025-11-12,4800
2025-11-11,5834
2025-11-10,7202
2025-11-09,3720
2025-11-08,10336
2025-11-07,7018
2025-11-06,5743
2025-11-05,6796
2025-11-04,5616
2025-11-03,7721
2025-11-02,10190
2025-11-01,7886
2025-10-31,8914
2025-10-30,8558
2025-10-29,4679
2025-10-28,8409
2025-10-27,6354
2025-10-26,8454
2025-10-25,7050
2025-10-24,8614
2025-10-23,5033
2025-10-22,5206
2025-10-21,4288
2025-10-20,5060
2025-10-19,6342
2025-10-18,8487
2025-10-17,6654
2025-10-16,6369
2025-10-15,5849
2025-10-14,5674
2025-10-13,7159
2025-10-12,9312
2025-10-11,7646
2025-10-10,4986
2025-10-09,5262
2025-10-08,5156
2025-10-07,7499
2025-10-06,9133
2025-10-05,5804
2025-10-04,7399
2025-10-03,2445
2025-10-02,8219
2025-10-01,4889
2025-09-30,5586
2025-09-29,6075
2025-09-28,9359
2025-09-27,9301
2025-09-26,3526
2025-09-25,4496
2025-09-24,7005
2025-09-23,4534
2025-09-22,5569
2025-09-21,4657
2025-09-20,6463
2025-09-19,5563
2025-09-18,4509
2025-09-17,4506
2025-09-16,5215
2025-09-15,6839
2025-09-14,6625
2025-09-13,10693
2025-09-12,7854
2025-09-11,2864
2025-09-10,2381
2025-09-09,8631
2025-09-08,3665
2025-09-07,10514
2025-09-06,4060
2025-09-05,3455
2025-09-04,5411
2025-09-03,5848
2025-09-02,2544
2025-09-01,5737
2025-08-31,5330
2025-08-30,7797
2025-08-29,5902
2025-08-28,1605
2025-08-27,6132
2025-08-26,7742
2025-08-25,6190
2025-08-24,9257
2025-08-23,7169
2025-08-22,4385
2025-08-21,4484
2025-08-20,9597
2025-08-19,2480
2025-08-18,5984
2025-08-17,9639
2025-08-16,5945
2025-08-15,4276
2025-08-14,3653
2025-08-13,4562
