from,to,light (s),deep (s),rem (s),awake (s),wake up (s),duration to sleep (s),duration to wake up (s),snoring (s),snoring episodes,average heart rate,heart rate (min),heart rate (max)
2025-01-01T06:56:55.687Z,2025-01-01T16:14:00.000Z,15887,7944,7944,1650,0,0,0,0,0,60,50,80
2025-01-02T06:01:28.046Z,2025-01-02T15:14:00.000Z,15957,7978,7978,1239,0,0,0,0,0,60,50,80
2025-01-03T08:07:48.582Z,2025-01-03T15:52:00.000Z,13097,6549,6549,1657,0,0,0,0,0,60,50,80
2025-01-04T07:33:48.251Z,2025-01-04T15:22:00.000Z,13465,6732,6732,1162,0,0,0,0,0,60,50,80
2025-01-05T07:17:36.114Z,2025-01-05T15:49:00.000Z,15302,7651,7651,80,0,0,0,0,0,60,50,80
2025-01-06T07:13:04.164Z,2025-01-06T15:14:00.000Z,13757,6879,6879,1342,0,0,0,0,0,60,50,80
2025-01-07T06:54:22.239Z,2025-01-07T15:31:00.000Z,14680,7340,7340,1637,0,0,0,0,0,60,50,80
2025-01-08T06:48:37.615Z,2025-01-08T15:16:00.000Z,14650,7325,7325,1143,0,0,0,0,0,60,50,80
2025-01-09T07:25:31.555Z,2025-01-09T15:40:00.000Z,14243,7122,7122,1182,0,0,0,0,0,60,50,80
2025-01-10T06:04:55.344Z,2025-01-10T15:00:00.000Z,15287,7643,7643,1531,0,0,0,0,0,60,50,80
2025-01-11T06:34:20.880Z,2025-01-11T15:47:00.000Z,16031,8016,8016,1097,0,0,0,0,0,60,50,80
2025-01-12T08:12:32.877Z,2025-01-12T16:39:00.000Z,14460,7230,7230,1467,0,0,0,0,0,60,50,80
2025-01-13T09:26:22.353Z,2025-01-13T16:55:00.000Z,12774,6387,6387,1370,0,0,0,0,0,60,50,80
2025-01-14T07:42:56.321Z,2025-01-14T15:10:00.000Z,12633,6317,6317,1558,0,0,0,0,0,60,50,80
2025-01-15T07:36:46.504Z,2025-01-15T15:06:00.000Z,12811,6405,6405,1332,0,0,0,0,0,60,50,80
2025-01-16T07:43:07.704Z,2025-01-16T16:37:00.000Z,15799,7899,7899,435,0,0,0,0,0,60,50,80
2025-01-17T07:25:33.412Z,2025-01-17T15:49:00.000Z,14842,7421,7421,523,0,0,0,0,0,60,50,80
2025-01-18T06:00:51.176Z,2025-01-18T15:02:00.000Z,16052,8026,8026,364,0,0,0,0,0,60,50,80
2025-01-19T09:13:55.170Z,2025-01-19T16:38:00.000Z,13209,6605,6605,226,0,0,0,0,0,60,50,80
2025-01-20T06:18:37.991Z,2025-01-20T15:14:00.000Z,15166,7583,7583,1791,0,0,0,0,0,60,50,80
2025-01-21T08:05:31.846Z,2025-01-21T16:04:00.000Z,14307,7154,7154,94,0,0,0,0,0,60,50,80
2025-01-22T08:53:56.533Z,2025-01-22T16:22:00.000Z,13110,6555,6555,663,0,0,0,0,0,60,50,80
2025-01-23T07:33:38.892Z,2025-01-23T16:29:00.000Z,15180,7590,7590,1762,0,0,0,0,0,60,50,80
2025-01-24T07:43:29.823Z,2025-01-24T15:44:00.000Z,13531,6765,6765,1769,0,0,0,0,0,60,50,80
2025-01-25T08:36:34.496Z,2025-01-25T16:25:00.000Z,13954,6977,6977,197,0,0,0,0,0,60,50,80
2025-01-26T06:11:16.304Z,2025-01-26T15:16:00.000Z,15768,7884,7884,1148,0,0,0,0,0,60,50,80
2025-01-27T07:31:51.268Z,2025-01-27T16:31:00.000Z,15910,7955,7955,528,0,0,0,0,0,60,50,80
2025-01-28T06:24:48.027Z,2025-01-28T15:02:00.000Z,15185,7592,7592,663,0,0,0,0,0,60,50,80
2025-01-29T08:00:37.008Z,2025-01-29T16:12:00.000Z,14330,7165,7165,823,0,0,0,0,0,60,50,80
2025-01-30T08:07:19.873Z,2025-01-30T16:49:00.000Z,14955,7477,7477,1391,0,0,0,0,0,60,50,80
2025-01-31T06:59:02.311Z,2025-01-31T15:07:00.000Z,14246,7123,7123,785,0,0,0,0,0,60,50,80
2025-02-01T07:24:23.297Z,2025-02-01T15:46:00.000Z,14310,7155,7155,1476,0,0,0,0,0,60,50,80
2025-02-02T08:31:34.554Z,2025-02-02T16:01:00.000Z,13024,6512,6512,918,0,0,0,0,0,60,50,80
2025-02-03T07:10:48.776Z,2025-02-03T15:56:00.000Z,15028,7514,7514,1456,0,0,0,0,0,60,50,80
2025-02-04T07:37:50.681Z,2025-02-04T15:32:00.000Z,14008,7004,7004,434,0,0,0,0,0,60,50,80
2025-02-05T07:50:06.799Z,2025-02-05T15:34:00.000Z,13157,6579,6579,1519,0,0,0,0,0,60,50,80
2025-02-06T07:38:51.780Z,2025-02-06T16:14:00.000Z,14885,7442,7442,1138,0,0,0,0,0,60,50,80
2025-02-07T07:27:21.156Z,2025-02-07T15:29:00.000Z,14099,7050,7050,701,0,0,0,0,0,60,50,80
2025-02-08T07:29:42.450Z,2025-02-08T15:24:00.000Z,13432,6716,6716,1593,0,0,0,0,0,60,50,80
2025-02-09T08:54:25.405Z,2025-02-09T16:27:00.000Z,12780,6390,6390,1594,0,0,0,0,0,60,50,80
2025-02-10T07:42:05.409Z,2025-02-10T16:43:00.000Z,15779,7890,7890,896,0,0,0,0,0,60,50,80
2025-02-11T08:08:26.522Z,2025-02-11T15:56:00.000Z,13280,6640,6640,1493,0,0,0,0,0,60,50,80
2025-02-12T07:03:37.454Z,2025-02-12T15:53:00.000Z,15055,7527,7527,1654,0,0,0,0,0,60,50,80
2025-02-13T07:52:24.384Z,2025-02-13T15:37:00.000Z,13734,6867,6867,407,0,0,0,0,0,60,50,80
2025-02-14T07:20:04.922Z,2025-02-14T15:28:00.000Z,14042,7021,7021,1190,0,0,0,0,0,60,50,80
2025-02-15T07:31:08.492Z,2025-02-15T15:11:00.000Z,13684,6842,6842,224,0,0,0,0,0,60,50,80
2025-02-16T08:15:00.840Z,2025-02-16T15:41:00.000Z,13080,6540,6540,600,0,0,0,0,0,60,50,80
2025-02-17T07:18:30.761Z,2025-02-17T15:17:00.000Z,14348,7174,7174,13,0,0,0,0,0,60,50,80
2025-02-18T07:39:41.699Z,2025-02-18T16:01:00.000Z,14605,7302,7302,869,0,0,0,0,0,60,50,80
2025-02-19T07:43:11.893Z,2025-02-19T15:48:00.000Z,13863,6931,6931,1363,0,0,0,0,0,60,50,80
2025-02-20T06:38:47.076Z,2025-02-20T15:03:00.000Z,14687,7344,7344,879,0,0,0,0,0,60,50,80
2025-02-21T07:38:51.437Z,2025-02-21T16:31:00.000Z,15238,7619,7619,1453,0,0,0,0,0,60,50,80
2025-02-22T07:37:02.786Z,2025-02-22T15:32:00.000Z,13803,6902,6902,891,0,0,0,0,0,60,50,80
2025-02-23T07:03:59.515Z,2025-02-23T15:39:00.000Z,15096,7548,7548,709,0,0,0,0,0,60,50,80
2025-02-24T08:33:05.726Z,2025-02-24T16:22:00.000Z,13353,6677,6677,1428,0,0,0,0,0,60,50,80
2025-02-25T08:38:17.915Z,2025-02-25T16:32:00.000Z,14061,7030,7030,301,0,0,0,0,0,60,50,80
2025-02-26T08:00:02.219Z,2025-02-26T15:55:00.000Z,13555,6778,6778,1388,0,0,0,0,0,60,50,80
2025-02-27T07:41:49.659Z,2025-02-27T15:57:00.000Z,14158,7079,7079,1394,0,0,0,0,0,60,50,80
2025-02-28T07:39:55.610Z,2025-02-28T16:13:00.000Z,14943,7471,7471,899,0,0,0,0,0,60,50,80
