Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2025-01-01 08:00:00",74.98,12.5,3.2,59.8,43.5,
"2025-01-02 08:00:00",74.98,12.5,3.2,59.8,43.5,
"2025-01-03 08:00:00",74.91,12.5,3.2,59.8,43.5,
"2025-01-04 08:00:00",74.97,12.5,3.2,59.8,43.5,
"2025-01-05 08:00:00",75.00,12.5,3.2,59.8,43.5,
"2025-01-06 08:00:00",74.93,12.5,3.2,59.8,43.5,
"2025-01-07 08:00:00",75.05,12.5,3.2,59.8,43.5,
"2025-01-08 08:00:00",75.10,12.5,3.2,59.8,43.5,
"2025-01-09 08:00:00",75.07,12.5,3.2,59.8,43.5,
"2025-01-10 08:00:00",75.05,12.5,3.2,59.8,43.5,
"2025-01-11 08:00:00",75.07,12.5,3.2,59.8,43.5,
"2025-01-12 08:00:00",75.09,12.5,3.2,59.8,43.5,
"2025-01-13 08:00:00",75.15,12.5,3.2,59.8,43.5,
"2025-01-14 08:00:00",75.23,12.5,3.2,59.8,43.5,
"2025-01-15 08:00:00",75.21,12.5,3.2,59.8,43.5,
"2025-01-16 08:00:00",75.29,12.5,3.2,59.8,43.5,
"2025-01-17 08:00:00",75.26,12.5,3.2,59.8,43.5,
"2025-01-18 08:00:00",75.39,12.5,3.2,59.8,43.5,
"2025-01-19 08:00:00",75.51,12.5,3.2,59.8,43.5,
"2025-01-20 08:00:00",75.46,12.5,3.2,59.8,43.5,
"2025-01-21 08:00:00",75.46,12.5,3.2,59.8,43.5,
"2025-01-22 08:00:00",75.40,12.5,3.2,59.8,43.5,
"2025-01-23 08:00:00",75.41,12.5,3.2,59.8,43.5,
"2025-01-24 08:00:00",75.46,12.5,3.2,59.8,43.5,
"2025-01-25 08:00:00",75.53,12.5,3.2,59.8,43.5,
"2025-01-26 08:00:00",75.60,12.5,3.2,59.8,43.5,
"2025-01-27 08:00:00",75.71,12.5,3.2,59.8,43.5,
"2025-01-28 08:00:00",75.73,12.5,3.2,59.8,43.5,
"2025-01-29 08:00:00",75.84,12.5,3.2,59.8,43.5,
"2025-01-30 08:00:00",75.83,12.5,3.2,59.8,43.5,
"2025-01-31 08:00:00",75.79,12.5,3.2,59.8,43.5,
"2025-02-01 08:00:00",75.78,12.5,3.2,59.8,43.5,
"2025-02-02 08:00:00",75.91,12.5,3.2,59.8,43.5,
"2025-02-03 08:00:00",75.94,12.5,3.2,59.8,43.5,
"2025-02-04 08:00:00",75.87,12.5,3.2,59.8,43.5,
"2025-02-05 08:00:00",75.88,12.5,3.2,59.8,43.5,
"2025-02-06 08:00:00",75.90,12.5,3.2,59.8,43.5,
"2025-02-07 08:00:00",75.87,12.5,3.2,59.8,43.5,
"2025-02-08 08:00:00",75.94,12.5,3.2,59.8,43.5,
"2025-02-09 08:00:00",75.88,12.5,3.2,59.8,43.5,
"2025-02-10 08:00:00",75.86,12.5,3.2,59.8,43.5,
"2025-02-11 08:00:00",75.98,12.5,3.2,59.8,43.5,
"2025-02-12 08:00:00",75.95,12.5,3.2,59.8,43.5,
"2025-02-13 08:00:00",76.01,12.5,3.2,59.8,43.5,
"2025-02-14 08:00:00",76.09,12.5,3.2,59.8,43.5,
"2025-02-15 08:00:00",76.03,12.5,3.2,59.8,43.5,
"2025-02-16 08:00:00",76.15,12.5,3.2,59.8,43.5,
"2025-02-17 08:00:00",76.15,12.5,3.2,59.8,43.5,
"2025-02-18 08:00:00",76.18,12.5,3.2,59.8,43.5,
"2025-02-19 08:00:00",76.25,12.5,3.2,59.8,43.5,
"2025-02-20 08:00:00",76.33,12.5,3.2,59.8,43.5,
"2025-02-21 08:00:00",76.42,12.5,3.2,59.8,43.5,
"2025-02-22 08:00:00",76.40,12.5,3.2,59.8,43.5,
"2025-02-23 08:00:00",76.39,12.5,3.2,59.8,43.5,
"2025-02-24 08:00:00",76.48,12.5,3.2,59.8,43.5,
"2025-02-25 08:00:00",76.46,12.5,3.2,59.8,43.5,
"2025-02-26 08:00:00",76.55,12.5,3.2,59.8,43.5,
"2025-02-27 08:00:00",76.67,12.5,3.2,59.8,43.5,
"2025-02-28 08:00:00",76.76,12.5,3.2,59.8,43.5,
"2025-03-01 08:00:00",76.82,12.5,3.2,59.8,43.5,
"2025-03-02 08:00:00",76.89,12.5,3.2,59.8,43.5,
"2025-03-03 08:00:00",76.81,12.5,3.2,59.8,43.5,
"2025-03-04 08:00:00",76.87,12.5,3.2,59.8,43.5,
"2025-03-05 08:00:00",76.84,12.5,3.2,59.8,43.5,
"2025-03-06 08:00:00",76.91,12.5,3.2,59.8,43.5,
"2025-03-07 08:00:00",76.88,12.5,3.2,59.8,43.5,
"2025-03-08 08:00:00",76.95,12.5,3.2,59.8,43.5,
"2025-03-09 08:00:00",77.03,12.5,3.2,59.8,43.5,
"2025-03-10 07:00:00",76.98,12.5,3.2,59.8,43.5,
"2025-03-11 07:00:00",77.08,12.5,3.2,59.8,43.5,
"2025-03-12 07:00:00",77.06,12.5,3.2,59.8,43.5,
"2025-03-13 07:00:00",77.01,12.5,3.2,59.8,43.5,
"2025-03-14 07:00:00",77.04,12.5,3.2,59.8,43.5,
"2025-03-15 07:00:00",76.94,12.5,3.2,59.8,43.5,
"2025-03-16 07:00:00",76.90,12.5,3.2,59.8,43.5,
"2025-03-17 07:00:00",76.89,12.5,3.2,59.8,43.5,
"2025-03-18 07:00:00",76.92,12.5,3.2,59.8,43.5,
"2025-03-19 07:00:00",76.91,12.5,3.2,59.8,43.5,
"2025-03-20 07:00:00",76.98,12.5,3.2,59.8,43.5,
"2025-03-21 07:00:00",76.93,12.5,3.2,59.8,43.5,
"2025-03-22 07:00:00",76.97,12.5,3.2,59.8,43.5,
"2025-03-23 07:00:00",77.05,12.5,3.2,59.8,43.5,
"2025-03-24 07:00:00",77.07,12.5,3.2,59.8,43.5,
"2025-03-25 07:00:00",76.98,12.5,3.2,59.8,43.5,
"2025-03-26 07:00:00",76.91,12.5,3.2,59.8,43.5,
"2025-03-27 07:00:00",76.88,12.5,3.2,59.8,43.5,
"2025-03-28 07:00:00",76.91,12.5,3.2,59.8,43.5,
"2025-03-29 07:00:00",76.90,12.5,3.2,59.8,43.5,
"2025-03-30 07:00:00",77.00,12.5,3.2,59.8,43.5,
"2025-03-31 07:00:00",76.96,12.5,3.2,59.8,43.5,
"2025-04-01 07:00:00",76.90,12.5,3.2,59.8,43.5,
"2025-04-02 07:00:00",77.00,12.5,3.2,59.8,43.5,
"2025-04-03 07:00:00",76.92,12.5,3.2,59.8,43.5,
"2025-04-04 07:00:00",76.85,12.5,3.2,59.8,43.5,
"2025-04-05 07:00:00",76.83,12.5,3.2,59.8,43.5,
"2025-04-06 07:00:00",76.74,12.5,3.2,59.8,43.5,
"2025-04-07 07:00:00",76.83,12.5,3.2,59.8,43.5,
"2025-04-08 07:00:00",76.92,12.5,3.2,59.8,43.5,
"2025-04-09 07:00:00",76.91,12.5,3.2,59.8,43.5,
"2025-04-10 07:00:00",76.93,12.5,3.2,59.8,43.5,
"2025-04-11 07:00:00",76.94,12.5,3.2,59.8,43.5,
"2025-04-12 07:00:00",76.92,12.5,3.2,59.8,43.5,
"2025-04-13 07:00:00",76.98,12.5,3.2,59.8,43.5,
"2025-04-14 07:00:00",76.94,12.5,3.2,59.8,43.5,
